ballX,ballY,vy,vx,paddleY,deltaY,action
22.99234,88.661507,3.69423,-2.0,56.0,-17.661507,1
20.99234,92.355736,3.69423,-2.0,62.0,-15.355736,1
18.99234,96.049965,3.69423,-2.0,68.0,-13.049965,1
16.99234,99.744194,3.69423,-2.0,74.0,-10.744194,1
14.99234,103.438423,3.69423,-2.0,80.0,-8.438423,1
12.99234,107.132652,3.69423,-2.0,86.0,-6.132652,1
10.99234,110.826881,3.69423,-2.0,92.0,-3.826881,1
299.105621,53.16394,2.760899,-2.89438,2.0,-36.16394,2
275.950592,75.251144,2.760899,-2.89438,2.0,-58.251144,1
273.056213,78.012047,2.760899,-2.89438,8.0,-55.012047,1
270.161835,80.772949,2.760899,-2.89438,14.0,-51.772949,1
267.267456,83.533852,2.760899,-2.89438,20.0,-48.533852,1
264.373077,86.294754,2.760899,-2.89438,26.0,-45.294754,1
261.478699,89.055656,2.760899,-2.89438,32.0,-42.055656,1
258.58432,91.816559,2.760899,-2.89438,38.0,-38.816559,1
255.689941,94.577461,2.760899,-2.89438,44.0,-35.577461,1
252.795563,97.338364,2.760899,-2.89438,50.0,-32.338364,1
249.901184,100.099266,2.760899,-2.89438,56.0,-29.099266,1
247.006805,102.860168,2.760899,-2.89438,62.0,-25.860168,1
244.112427,105.621071,2.760899,-2.89438,68.0,-22.621071,1
241.218048,108.381973,2.760899,-2.89438,74.0,-19.381973,1
238.323669,111.142876,2.760899,-2.89438,80.0,-16.142876,1
229.640533,119.425583,2.760899,-2.89438,86.0,-18.425583,2
215.16864,133.230087,2.760899,-2.89438,86.0,-32.230087,2
212.274261,135.990982,2.760899,-2.89438,86.0,-34.990982,2
197.802368,149.795456,2.760899,-2.89438,86.0,-48.795456,2
165.964203,180.165298,2.760899,-2.89438,86.0,-79.165298,2
160.175446,185.687088,2.760899,-2.89438,86.0,-84.687088,1
157.281067,188.447983,2.760899,-2.89438,92.0,-81.447983,1
154.386688,191.208878,2.760899,-2.89438,98.0,-78.208878,1
151.49231,192.0,-2.760899,-2.89438,104.0,-73.0,1
145.703552,186.47821,-2.760899,-2.89438,110.0,-61.47821,2
90.710358,134.02121,-2.760899,-2.89438,56.0,-63.02121,2
76.238464,120.216713,-2.760899,-2.89438,56.0,-49.216713,2
73.344086,117.455811,-2.760899,-2.89438,56.0,-46.455811,2
70.449707,114.694908,-2.760899,-2.89438,56.0,-43.694908,2
53.083435,98.129494,-2.760899,-2.89438,56.0,-27.129494,0
47.294678,92.607689,-2.760899,-2.89438,44.0,-33.607689,2
38.611542,84.324982,-2.760899,-2.89438,44.0,-25.324982,2
